date,sedol,closePrice,vol
2024-03-01,S0001,97.97,10039
2024-03-02,S0001,97.12,9530
2024-03-03,S0001,95.17,9364
2024-03-04,S0001,96.95,9609
2024-03-05,S0001,97.32,9147
2024-03-06,S0001,98.56,9309
2024-03-07,S0001,96.15,9970
2024-03-08,S0001,96.0,9441
2024-03-09,S0001,97.34,9797
2024-03-10,S0001,98.27,9902
2024-03-11,S0001,98.76,9551
2024-03-12,S0001,98.91,8745
2024-03-13,S0001,98.67,8577
2024-03-14,S0001,97.66,7794
2024-03-15,S0001,98.04,8279
2024-03-16,S0001,96.34,7813
2024-03-17,S0001,95.8,7909
2024-03-18,S0001,94.96,8696
2024-03-19,S0001,94.23,8776
2024-03-20,S0001,96.81,9262
2024-03-21,S0001,94.21,9519
2024-03-22,S0001,95.55,9841
2024-03-23,S0001,96.92,10176
2024-03-24,S0001,96.57,10019
2024-03-25,S0001,96.71,9691
2024-03-26,S0001,96.82,10337
2024-03-27,S0001,97.93,9717
2024-03-28,S0001,97.75,9635
2024-03-29,S0001,98.73,9912
2024-03-30,S0001,97.83,9274
2024-03-01,S0002,71.67,17545
2024-03-02,S0002,69.81,16171
2024-03-03,S0002,70.59,17600
2024-03-04,S0002,72.42,18327
2024-03-05,S0002,70.67,19630
2024-03-06,S0002,71.42,18547
2024-03-07,S0002,71.08,18496
2024-03-08,S0002,71.65,16936
2024-03-09,S0002,72.04,16632
2024-03-10,S0002,71.26,17489
2024-03-11,S0002,71.28,16742
2024-03-12,S0002,69.03,15545
2024-03-13,S0002,68.46,15726
2024-03-14,S0002,67.88,16456
2024-03-15,S0002,67.53,16472
2024-03-16,S0002,66.44,16775
2024-03-17,S0002,66.55,15670
2024-03-18,S0002,66.73,17001
2024-03-19,S0002,66.61,16573
2024-03-20,S0002,65.83,18098
2024-03-21,S0002,65.51,16604
2024-03-22,S0002,64.79,16903
2024-03-23,S0002,65.92,15362
2024-03-24,S0002,66.54,16051
2024-03-25,S0002,68.07,15339
2024-03-26,S0002,67.06,16537
2024-03-27,S0002,66.24,15233
2024-03-28,S0002,66.64,15085
2024-03-29,S0002,67.01,14914
2024-03-30,S0002,66.99,14118
2024-03-01,S0003,74.18,14480
2024-03-02,S0003,74.47,14464
2024-03-03,S0003,72.1,14595
2024-03-04,S0003,70.74,15040
2024-03-05,S0003,70.65,15234
2024-03-06,S0003,69.69,14525
2024-03-07,S0003,68.44,15519
2024-03-08,S0003,68.87,13992
2024-03-09,S0003,70.0,12995
2024-03-10,S0003,70.67,12904
2024-03-11,S0003,68.97,13007
2024-03-12,S0003,69.77,14035
2024-03-13,S0003,69.16,14299
2024-03-14,S0003,68.34,13831
2024-03-15,S0003,68.32,14630
2024-03-16,S0003,69.4,13879
2024-03-17,S0003,68.03,12876
2024-03-18,S0003,68.35,11868
2024-03-19,S0003,67.5,12853
2024-03-20,S0003,67.69,12127
2024-03-21,S0003,70.07,11492
2024-03-22,S0003,68.46,12387
2024-03-23,S0003,67.5,12062
2024-03-24,S0003,68.58,10951
2024-03-25,S0003,68.05,10341
2024-03-26,S0003,67.69,10507
2024-03-27,S0003,68.28,11468
2024-03-28,S0003,68.04,11210
2024-03-29,S0003,68.56,10805
2024-03-30,S0003,70.63,10696
2024-03-01,S0004,107.39,12113
2024-03-02,S0004,108.84,11702
2024-03-03,S0004,108.97,10826
2024-03-04,S0004,109.94,11840
2024-03-05,S0004,108.57,12002
2024-03-06,S0004,106.98,12489
2024-03-07,S0004,107.83,13628
2024-03-08,S0004,108.27,12539
2024-03-09,S0004,111.21,12004
2024-03-10,S0004,109.36,10931
2024-03-11,S0004,108.09,11765
2024-03-12,S0004,108.12,12373
2024-03-13,S0004,107.05,11451
2024-03-14,S0004,107.15,10430
2024-03-15,S0004,107.18,9477
2024-03-16,S0004,109.41,8834
2024-03-17,S0004,108.83,9702
2024-03-18,S0004,106.37,10243
2024-03-19,S0004,109.71,11159
2024-03-20,S0004,109.49,11848
2024-03-21,S0004,111.53,11195
2024-03-22,S0004,108.95,10638
2024-03-23,S0004,110.98,11648
2024-03-24,S0004,109.91,11603
2024-03-25,S0004,109.78,10886
2024-03-26,S0004,109.59,10402
2024-03-27,S0004,108.68,9876
2024-03-28,S0004,107.79,10487
2024-03-29,S0004,105.76,11308
2024-03-30,S0004,106.43,12340
2024-03-01,S0005,95.35,6042
2024-03-02,S0005,94.31,6613
2024-03-03,S0005,95.7,7081
2024-03-04,S0005,95.28,7459
2024-03-05,S0005,93.9,8016
2024-03-06,S0005,94.53,8512
2024-03-07,S0005,95.28,8416
2024-03-08,S0005,97.04,8120
2024-03-09,S0005,96.8,8059
2024-03-10,S0005,95.91,7733
2024-03-11,S0005,94.44,8418
2024-03-12,S0005,95.8,8670
2024-03-13,S0005,94.91,8865
2024-03-14,S0005,96.31,9016
2024-03-15,S0005,96.05,9730
2024-03-16,S0005,99.05,9362
2024-03-17,S0005,98.03,9321
2024-03-18,S0005,98.96,9318
2024-03-19,S0005,100.29,8984
2024-03-20,S0005,99.69,8985
2024-03-21,S0005,100.73,9015
2024-03-22,S0005,101.39,8561
2024-03-23,S0005,99.85,8924
2024-03-24,S0005,98.81,8363
2024-03-25,S0005,97.48,9186
2024-03-26,S0005,98.33,9407
2024-03-27,S0005,98.28,9309
2024-03-28,S0005,94.94,9062
2024-03-29,S0005,97.13,8335
2024-03-30,S0005,97.28,9053
