date,sedol,closePrice,vol
2024-03-01,S0001,97.99,10039
2024-03-02,S0001,98.01,9530
2024-03-03,S0001,96.12,9364
2024-03-04,S0001,96.02,9609
2024-03-05,S0001,96.53,9147
2024-03-06,S0001,97.95,9309
2024-03-07,S0001,96.41,9970
2024-03-08,S0001,96.79,9441
2024-03-09,S0001,97.37,9797
2024-03-10,S0001,97.92,9902
2024-03-11,S0001,98.43,9551
2024-03-12,S0001,98.38,8745
2024-03-13,S0001,98.13,8577
2024-03-14,S0001,98.58,7794
2024-03-15,S0001,97.12,8279
2024-03-16,S0001,96.17,7813
2024-03-17,S0001,95.99,7909
2024-03-18,S0001,95.1,8696
2024-03-19,S0001,94.61,8776
2024-03-20,S0001,96.15,9262
2024-03-21,S0001,94.98,9519
2024-03-22,S0001,96.42,9841
2024-03-23,S0001,96.68,10176
2024-03-24,S0001,97.08,10019
2024-03-25,S0001,97.33,9691
2024-03-26,S0001,97.06,10337
2024-03-27,S0001,98.83,9717
2024-03-28,S0001,98.46,9635
2024-03-29,S0001,99.06,9912
2024-03-30,S0001,98.64,9274
2024-03-01,S0002,71.19,17545
2024-03-02,S0002,69.89,16171
2024-03-03,S0002,71.28,17600
2024-03-04,S0002,71.94,18327
2024-03-05,S0002,70.71,19630
2024-03-06,S0002,70.81,18547
2024-03-07,S0002,71.43,18496
2024-03-08,S0002,71.11,16936
2024-03-09,S0002,71.77,16632
2024-03-10,S0002,71.11,17489
2024-03-11,S0002,70.6,16742
2024-03-12,S0002,69.39,15545
2024-03-13,S0002,68.57,15726
2024-03-14,S0002,67.96,16456
2024-03-15,S0002,67.24,16472
2024-03-16,S0002,66.06,16775
2024-03-17,S0002,67.12,15670
2024-03-18,S0002,67.22,17001
2024-03-19,S0002,66.46,16573
2024-03-20,S0002,65.19,18098
2024-03-21,S0002,65.6,16604
2024-03-22,S0002,64.87,16903
2024-03-23,S0002,65.53,15362
2024-03-24,S0002,66.75,16051
2024-03-25,S0002,67.82,15339
2024-03-26,S0002,66.91,16537
2024-03-27,S0002,65.88,15233
2024-03-28,S0002,66.91,15085
2024-03-29,S0002,67.42,14914
2024-03-30,S0002,66.51,14118
2024-03-01,S0003,74.55,14480
2024-03-02,S0003,74.03,14464
2024-03-03,S0003,72.75,14595
2024-03-04,S0003,71.34,15040
2024-03-05,S0003,70.0,15234
2024-03-06,S0003,69.1,14525
2024-03-07,S0003,68.85,15519
2024-03-08,S0003,69.57,13992
2024-03-09,S0003,69.44,12995
2024-03-10,S0003,70.34,12904
2024-03-11,S0003,69.33,13007
2024-03-12,S0003,69.93,14035
2024-03-13,S0003,68.65,14299
2024-03-14,S0003,68.97,13831
2024-03-15,S0003,68.14,14630
2024-03-16,S0003,69.13,13879
2024-03-17,S0003,68.52,12876
2024-03-18,S0003,68.8,11868
2024-03-19,S0003,68.16,12853
2024-03-20,S0003,68.09,12127
2024-03-21,S0003,69.41,11492
2024-03-22,S0003,68.51,12387
2024-03-23,S0003,67.97,12062
2024-03-24,S0003,68.63,10951
2024-03-25,S0003,67.38,10341
2024-03-26,S0003,67.78,10507
2024-03-27,S0003,68.44,11468
2024-03-28,S0003,68.55,11210
2024-03-29,S0003,68.85,10805
2024-03-30,S0003,70.18,10696
2024-03-01,S0004,106.46,12113
2024-03-02,S0004,107.98,11702
2024-03-03,S0004,108.87,10826
2024-03-04,S0004,109.07,11840
2024-03-05,S0004,107.63,12002
2024-03-06,S0004,106.3,12489
2024-03-07,S0004,107.18,13628
2024-03-08,S0004,109.17,12539
2024-03-09,S0004,111.23,12004
2024-03-10,S0004,109.92,10931
2024-03-11,S0004,107.77,11765
2024-03-12,S0004,107.46,12373
2024-03-13,S0004,107.56,11451
2024-03-14,S0004,106.7,10430
2024-03-15,S0004,108.18,9477
2024-03-16,S0004,109.72,8834
2024-03-17,S0004,108.89,9702
2024-03-18,S0004,107.37,10243
2024-03-19,S0004,108.95,11159
2024-03-20,S0004,109.45,11848
2024-03-21,S0004,110.68,11195
2024-03-22,S0004,109.46,10638
2024-03-23,S0004,110.55,11648
2024-03-24,S0004,110.26,11603
2024-03-25,S0004,109.52,10886
2024-03-26,S0004,108.82,10402
2024-03-27,S0004,109.66,9876
2024-03-28,S0004,108.32,10487
2024-03-29,S0004,106.18,11308
2024-03-30,S0004,105.66,12340
2024-03-01,S0005,95.32,6042
2024-03-02,S0005,94.24,6613
2024-03-03,S0005,95.52,7081
2024-03-04,S0005,94.95,7459
2024-03-05,S0005,93.15,8016
2024-03-06,S0005,94.62,8512
2024-03-07,S0005,95.71,8416
2024-03-08,S0005,96.58,8120
2024-03-09,S0005,96.48,8059
2024-03-10,S0005,96.56,7733
2024-03-11,S0005,94.98,8418
2024-03-12,S0005,96.16,8670
2024-03-13,S0005,95.14,8865
2024-03-14,S0005,96.86,9016
2024-03-15,S0005,96.5,9730
2024-03-16,S0005,98.29,9362
2024-03-17,S0005,98.19,9321
2024-03-18,S0005,98.82,9318
2024-03-19,S0005,100.65,8984
2024-03-20,S0005,99.56,8985
2024-03-21,S0005,100.32,9015
2024-03-22,S0005,102.3,8561
2024-03-23,S0005,100.3,8924
2024-03-24,S0005,98.34,8363
2024-03-25,S0005,97.77,9186
2024-03-26,S0005,97.69,9407
2024-03-27,S0005,97.71,9309
2024-03-28,S0005,95.89,9062
2024-03-29,S0005,97.18,8335
2024-03-30,S0005,96.39,9053
