stock_ticker,date,close_price,volume_traded,mdv21
ABC,2025-03-22,150.25,100000,148.50
ABC,2025-03-23,151.50,120000,148.75
ABC,2025-03-24,152.00,95000,149.00
DEF,2025-03-22,220.50,80000,218.00
DEF,2025-03-23,221.75,90000,218.50
DEF,2025-03-24,222.25,75000,219.00
GHI,2025-03-22,75.80,150000,74.50
GHI,2025-03-23,76.20,160000,74.75
GHI,2025-03-24,76.50,140000,75.00
JKL,2025-03-22,310.10,60000,308.00
JKL,2025-03-23,311.50,70000,308.50
JKL,2025-03-24,312.00,55000,309.00
MNO,2025-03-22,95.30,110000,94.00
MNO,2025-03-23,95.75,125000,94.25
MNO,2025-03-24,96.00,105000,94.50
PQR,2025-03-22,180.75,85000,178.50
PQR,2025-03-23,181.20,95000,179.00
PQR,2025-03-24,181.50,80000,179.50
STU,2025-03-22,45.90,200000,45.00
STU,2025-03-23,46.15,210000,45.25
STU,2025-03-24,46.30,190000,45.50
VWX,2025-03-22,125.40,130000,123.50
VWX,2025-03-23,125.85,145000,123.75
VWX,2025-03-24,126.20,120000,124.00
YZA,2025-03-22,60.60,170000,59.50
YZA,2025-03-23,60.90,180000,59.75
YZA,2025-03-24,61.15,160000,60.00
BCD,2025-03-22,280.20,70000,278.00
BCD,2025-03-23,281.50,80000,278.50
BCD,2025-03-24,282.00,65000,279.00
EFG,2025-03-22,110.80,105000,109.00
EFG,2025-03-23,111.25,115000,109.25
EFG,2025-03-24,111.50,95000,109.50
